fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2013-09-30,USD,64304000000,170774000000,123236000000,106606000000,48999000000,10830000000,4475000000,15305000000,1616000000,-136000000,None,136000000,None,-324000000,None,5800000000,50155000000,13118000000,136000000,37037000000,36067000000,50291000000,56091000000,37037000000,AAPL
2012-09-30,USD,68662000000,156508000000,100486000000,87846000000,55241000000,10040000000,3381000000,13421000000,1088000000,0,None,0,None,-566000000,None,2600000000,55763000000,14030000000,0,41733000000,41789000000,55763000000,58363000000,41733000000,AAPL
2011-09-30,USD,43818000000,108249000000,73630000000,64431000000,33790000000,7599000000,2429000000,10028000000,519000000,0,None,0,None,-104000000,None,1600000000,34205000000,8283000000,0,25922000000,26411000000,34205000000,35805000000,25922000000,AAPL
2010-09-30,USD,25684000000,65225000000,45873000000,39541000000,18385000000,5517000000,1782000000,7299000000,None,None,None,155000000,None,155000000,None,815000000,18540000000,4527000000,None,14013000000,13890000000,18385000000,19200000000,14013000000,AAPL
2009-09-30,USD,17222000000,42905000000,29832000000,25683000000,11740000000,4149000000,1333000000,5482000000,None,None,None,326000000,None,326000000,None,606000000,12066000000,3831000000,None,8235000000,8321000000,11740000000,12346000000,8235000000,AAPL
2023-06-30,USD,146052000000,209747000000,100049000000,65863000000,88523000000,30334000000,27195000000,61381000000,2994000000,-1968000000,1041000000,1968000000,211715000000,-223000000,11000000000,3852000000,89311000000,16950000000,1968000000,72361000000,70696000000,91279000000,95131000000,72361000000,MSFT
2022-06-30,USD,135620000000,196109000000,93355000000,62650000000,83383000000,27725000000,24512000000,55217000000,2094000000,-2063000000,2094000000,2063000000,198172000000,-32000000,12600000000,2980000000,83716000000,10978000000,2063000000,72738000000,66238000000,85779000000,88759000000,72738000000,MSFT
2021-06-30,USD,115856000000,165936000000,79977000000,52232000000,69916000000,25224000000,20716000000,48461000000,2131000000,-2346000000,2131000000,2346000000,168282000000,98000000,9300000000,2521000000,71102000000,9831000000,2346000000,61271000000,59897000000,73448000000,75969000000,61271000000,MSFT
2020-06-30,USD,96937000000,140503000000,73159000000,46078000000,52959000000,24709000000,19269000000,46350000000,2680000000,-2591000000,2680000000,2591000000,143094000000,-40000000,10700000000,2211000000,53036000000,8755000000,2591000000,44281000000,47807000000,55627000000,57838000000,44281000000,MSFT
2019-06-30,USD,82933000000,123495000000,67908000000,42910000000,42959000000,23098000000,16876000000,41874000000,2762000000,-2686000000,812000000,2686000000,126181000000,-57000000,9700000000,1900000000,43688000000,4448000000,2686000000,39240000000,41154000000,46374000000,48274000000,39240000000,MSFT
2018-06-30,USD,72007000000,107222000000,62776000000,38353000000,35058000000,22223000000,14726000000,39149000000,2214000000,-2733000000,1522000000,2733000000,109955000000,-59000000,7700000000,2200000000,36474000000,19903000000,2733000000,16571000000,13715000000,39207000000,41407000000,16571000000,MSFT
2017-06-30,USD,62310000000,96571000000,34261000000,34261000000,29025000000,20020000000,13037000000,35063000000,1387000000,-2222000000,1182000000,2222000000,-674000000,-251000000,6100000000,1700000000,29901000000,4412000000,2222000000,21204000000,24322000000,32123000000,33823000000,25489000000,MSFT
2016-06-30,USD,58374000000,91154000000,32780000000,32780000000,26078000000,19260000000,11988000000,33357000000,903000000,-1243000000,78000000,1243000000,-564000000,-195000000,4900000000,978000000,25639000000,5100000000,1243000000,16798000000,19811000000,26882000000,27860000000,20539000000,MSFT
2015-06-30,USD,60542000000,93580000000,33038000000,21410000000,18161000000,20324000000,12046000000,42381000000,766000000,-781000000,None,781000000,-88000000,-267000000,4100000000,1300000000,18507000000,6314000000,781000000,12193000000,11007000000,19288000000,20588000000,12193000000,MSFT
2014-06-30,USD,59755000000,86833000000,27078000000,16681000000,27759000000,20632000000,11381000000,31996000000,883000000,-597000000,None,597000000,-199000000,-169000000,3400000000,845000000,27820000000,5746000000,597000000,22074000000,24039000000,28417000000,29262000000,22074000000,MSFT
2013-06-30,USD,57464000000,77849000000,20385000000,20385000000,26764000000,20425000000,10411000000,30700000000,677000000,-429000000,None,429000000,-270000000,194000000,2600000000,739000000,27052000000,5189000000,429000000,21863000000,22184000000,27481000000,28220000000,21863000000,MSFT
2012-06-30,USD,56193000000,73723000000,17530000000,17530000000,21763000000,18426000000,9811000000,34430000000,800000000,-380000000,None,380000000,-481000000,1000000,2200000000,558000000,22267000000,5289000000,380000000,16978000000,16537000000,22647000000,23205000000,16978000000,MSFT
2011-06-30,USD,54366000000,69943000000,15577000000,15577000000,27161000000,18162000000,9043000000,27205000000,900000000,-295000000,None,295000000,-103000000,-31000000,2000000000,537000000,28071000000,4921000000,295000000,23150000000,23958000000,28366000000,28903000000,23150000000,MSFT
2010-06-30,USD,50089000000,62484000000,12395000000,12395000000,24098000000,17218000000,8714000000,26989000000,843000000,-151000000,None,151000000,-139000000,14000000,1800000000,707000000,25013000000,6253000000,151000000,18760000000,18846000000,25164000000,25871000000,18760000000,MSFT
2024-01-28,USD,44301000000,60922000000,16621000000,774000000,32972000000,2654000000,8675000000,11329000000,866000000,-257000000,866000000,257000000,None,237000000,894000000,614000000,33818000000,4058000000,257000000,29760000000,29830000000,34075000000,34689000000,29760000000,NVDA
2023-01-29,USD,15356000000,26974000000,11618000000,1040000000,4224000000,2440000000,7339000000,11132000000,267000000,-262000000,267000000,262000000,None,-48000000,844000000,699000000,4181000000,-187000000,262000000,4368000000,4336000000,4443000000,5142000000,4368000000,NVDA
2022-01-30,USD,17475000000,26914000000,9439000000,173000000,10041000000,2166000000,5268000000,7434000000,29000000,-236000000,29000000,236000000,26914000000,107000000,611000000,563000000,9941000000,189000000,236000000,9752000000,9722000000,10177000000,10740000000,9752000000,NVDA
2021-01-31,USD,10396000000,16675000000,6279000000,6279000000,4532000000,1940000000,3924000000,5864000000,57000000,-184000000,57000000,184000000,16675000000,4000000,486000000,1098000000,4409000000,77000000,184000000,4332000000,4350000000,4593000000,5691000000,4332000000,NVDA
2020-01-26,USD,6768000000,10918000000,4150000000,4150000000,2846000000,1093000000,2829000000,3922000000,178000000,-52000000,178000000,52000000,10918000000,-2000000,355000000,381000000,2970000000,174000000,52000000,2796000000,2809000000,3022000000,3403000000,2796000000,NVDA
2019-01-27,USD,7171000000,11658000000,5798000000,4545000000,3804000000,991000000,2376000000,3367000000,136000000,-58000000,136000000,58000000,11716000000,14000000,233000000,262000000,3896000000,-245000000,58000000,4141000000,4147000000,3954000000,4216000000,4141000000,NVDA
2018-01-28,USD,5822000000,9714000000,3892000000,3892000000,3210000000,815000000,1797000000,2612000000,69000000,-61000000,69000000,61000000,-19000000,-22000000,144000000,199000000,3196000000,149000000,80000000,3047000000,3045000000,3257000000,3456000000,3047000000,NVDA
2017-01-29,USD,4063000000,6910000000,2847000000,2847000000,1934000000,663000000,1463000000,2129000000,54000000,-58000000,54000000,58000000,-16000000,-25000000,118000000,187000000,1905000000,239000000,79000000,1666000000,1654000000,1963000000,2150000000,1666000000,NVDA
2016-01-31,USD,2811000000,5010000000,2199000000,2199000000,747000000,602000000,1331000000,2064000000,39000000,-47000000,8000000,47000000,0,4000000,124000000,197000000,743000000,129000000,47000000,614000000,602000000,790000000,987000000,614000000,NVDA
2015-01-25,USD,2599000000,4682000000,2083000000,2082030000,759000000,480000000,1360000000,1840000000,28090000,-46133000,-133000,46000000,500000,14000000,143000000,220000000,755000000,124000000,46133000,630587000,634000000,801000000,1021000000,631000000,NVDA
2014-01-26,USD,2268000000,4130000000,1862000000,1862399000,496000000,436000000,1336000000,1772000000,17119000,-10443000,-443000,10000000,4700000,7000000,164000000,239000000,510000000,70000000,10443000,439990000,435000000,520000000,759000000,440000000,NVDA
2013-01-27,USD,2226343000,4280159000,2053816000,20000000,648239000,430822000,1147282000,1578104000,19908000,-3294000,None,3294000,-1500000,-2814000,157600000,226235000,662039000,99503000,3294000,562536000,561903000,665333000,891568000,562536000,NVDA
2012-01-29,USD,2056517000,3997930000,1941413000,16700000,648299000,405613000,1002605000,1408218000,19149000,-3089000,None,3089000,None,-963000,145200000,204205000,663396000,82306000,3089000,581090000,581432000,666485000,870690000,581090000,NVDA
2011-01-30,USD,1409090000,3543309000,2134219000,2134219000,255747000,361513000,848830000,1153343000,19057000,-3127000,None,3127000,None,-508000,157000000,186989000,271169000,18023000,3127000,253146000,251246000,274296000,461285000,253146000,NVDA
2023-12-31,USD,172227000000,305559000000,133332000000,133332000000,84293000000,44342000000,45427000000,93702000000,None,-308000000,3414000000,308000000,305867000000,299000000,11946000000,11946000000,85717000000,11922000000,308000000,73795000000,76996000000,86025000000,100032000000,73795000000,GOOGL
2022-12-31,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,15928000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,90770000000,59972000000,GOOGL
2021-12-31,USD,146698000000,257637000000,110939000000,110939000000,78714000000,36422000000,31562000000,67984000000,None,-346000000,1499000000,346000000,1087000000,411000000,None,12441000000,90734000000,14701000000,346000000,76033000000,73777000000,91080000000,91155000000,76033000000,GOOGL
2020-12-31,USD,97795000000,182527000000,84732000000,84732000000,41224000000,28998000000,27573000000,56571000000,None,-135000000,1865000000,135000000,994000000,-637000000,None,13697000000,48082000000,7813000000,135000000,40269000000,42134000000,48217000000,54921000000,40269000000,GOOGL
2019-12-31,USD,89961000000,161857000000,71896000000,71896000000,34231000000,28015000000,26018000000,54033000000,None,-100000000,2427000000,100000000,162263000000,102000000,None,15175000000,39625000000,5282000000,100000000,34343000000,35447000000,39725000000,49406000000,34343000000,GOOGL
2018-12-31,USD,77270000000,136819000000,59549000000,59549000000,27524000000,24459000000,21419000000,45878000000,None,-114000000,1878000000,114000000,139387000000,378000000,None,9035000000,34913000000,4177000000,114000000,30736000000,29520000000,35027000000,45498000000,30736000000,GOOGL
2017-12-31,USD,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,38533000000,12662000000,GOOGL
2016-12-31,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,6144000000,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,GOOGL
2015-12-31,USD,46825000000,74989000000,28164000000,28164000000,19360000000,15183000000,12282000000,27465000000,None,-104000000,35000000,104000000,-422000000,152000000,None,5063000000,19651000000,3303000000,104000000,16348000000,14447000000,19755000000,24423000000,16348000000,GOOGL
2024-04-30,USD,178560000,310582000,132022000,132021999,-318342000,295537000,201365000,496902000,40079000,40079000,40079000,None,310582000,-641000,11500000,12719000,-278904000,792000,None,-279696000,-279874000,-318342000,-305623000,-279696000,AI
2023-04-30,USD,180458000,266795000,86337000,86337000,-290493000,260291000,210660000,470951000,21979000,21979000,21979000,22329000,266795000,350000,5000000,6088000,-268164000,675000,None,-268839000,-267076000,-290493000,-284405000,-268839000,AI
2022-04-30,USD,189046000,252759000,63713000,63713000,-196122000,234624000,150544000,385168000,1827000,1827000,1827000,1827000,252759000,3019000,4400000,5190000,-191276000,789000,None,-192065000,-194294000,-196122000,-190932000,-192065000,AI
2021-04-30,USD,138698000,183217000,44519000,44519000,-60258000,130100000,68856000,198956000,1255000,1255000,1255000,5266000,183217000,4011000,4000000,4297000,-54992000,704000,None,-55696000,-56039000,-60258000,-55961000,-55696000,AI
2023-12-31,USD,172227000000,305559000000,133332000000,133332000000,84293000000,44342000000,45427000000,93702000000,None,-308000000,3865000000,308000000,305867000000,299000000,11946000000,11946000000,85717000000,11922000000,308000000,73795000000,76996000000,86025000000,100032000000,73795000000,GOOG
2022-12-31,USD,155076000000,281279000000,126203000000,126203000000,74842000000,42291000000,39500000000,81791000000,None,-357000000,2174000000,357000000,281636000000,381000000,13475000000,15928000000,71328000000,11356000000,357000000,59972000000,53992000000,71685000000,90770000000,59972000000,GOOG
2021-12-31,USD,146698000000,257637000000,110939000000,110939000000,78714000000,36422000000,31562000000,67984000000,None,-346000000,1499000000,346000000,1087000000,411000000,None,12441000000,90734000000,14701000000,346000000,76033000000,73777000000,91080000000,91155000000,76033000000,GOOG
2020-12-31,USD,97795000000,182527000000,84732000000,84732000000,41224000000,28998000000,27573000000,56571000000,None,-135000000,1865000000,135000000,994000000,-637000000,None,13697000000,48082000000,7813000000,135000000,40269000000,42134000000,48217000000,54921000000,40269000000,GOOG
2019-12-31,USD,89961000000,161857000000,71896000000,71896000000,34231000000,28015000000,26018000000,54033000000,None,-100000000,2427000000,100000000,162263000000,102000000,None,15175000000,39625000000,5282000000,100000000,34343000000,35447000000,39725000000,49406000000,34343000000,GOOG
2018-12-31,USD,77270000000,136819000000,59549000000,59549000000,27524000000,24459000000,21419000000,45878000000,None,-114000000,1878000000,114000000,139387000000,378000000,None,9035000000,34913000000,4177000000,114000000,30736000000,29520000000,35027000000,45498000000,30736000000,GOOG
2017-12-31,USD,65272000000,110855000000,45583000000,45583000000,26178000000,19765000000,16625000000,36390000000,None,-109000000,1312000000,109000000,-121000000,158000000,None,6915000000,27193000000,14531000000,109000000,12506000000,14072000000,27302000000,38533000000,12662000000,GOOG
2016-12-31,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,6144000000,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,GOOG
2015-12-31,USD,46825000000,74989000000,28164000000,28164000000,19360000000,15183000000,12282000000,27465000000,None,-104000000,35000000,104000000,-422000000,152000000,None,5063000000,19651000000,3303000000,104000000,16348000000,14447000000,19755000000,24423000000,16348000000,GOOG
2023-12-31,USD,183837000000,571668000000,387831000000,304739000000,36852000000,76486000000,85622000000,84992000000,2949000000,-3182000000,2493000000,3182000000,574850000000,938000000,30200000000,6606000000,37525000000,7100000000,3182000000,30445000000,31872000000,40707000000,47313000000,30425000000,AMZN
2022-12-31,USD,139192000000,511276000000,372084000000,288831000000,12248000000,74729000000,73213000000,84853000000,989000000,-2367000000,989000000,2367000000,513643000000,-16806000000,24924000000,6704000000,-5939000000,-3217000000,2367000000,-2722000000,-5833000000,-3572000000,3132000000,-2722000000,AMZN
2021-12-31,USD,126928000000,467958000000,341030000000,272344000000,24879000000,58274000000,56052000000,69686000000,448000000,-1809000000,448000000,1809000000,469767000000,14633000000,22909000000,10412000000,38155000000,4791000000,1809000000,33355000000,32168000000,39964000000,50376000000,33364000000,AMZN
2020-12-31,USD,102560000000,384452000000,281892000000,233307000000,22899000000,39576000000,42740000000,49985000000,555000000,-1647000000,555000000,1647000000,386099000000,2371000000,16239000000,9009000000,24194000000,2863000000,1647000000,21331000000,22137000000,25841000000,34850000000,21331000000,AMZN
2019-12-31,USD,67626000000,278902000000,211276000000,165536000000,14541000000,35081000000,35931000000,46941000000,832000000,-1600000000,832000000,1600000000,280502000000,203000000,15100000000,10659000000,13988000000,2400000000,1600000000,11588000000,11637000000,15588000000,26247000000,11588000000,AMZN
2018-12-31,USD,65283000000,231264000000,165981000000,139156000000,12421000000,26350000000,28837000000,27999000000,440000000,-1417000000,440000000,1417000000,232681000000,-183000000,12138000000,475000000,11270000000,1197000000,1417000000,10073000000,9526000000,12687000000,13162000000,10073000000,AMZN
2017-12-31,USD,51222000000,177265000000,126043000000,111934000000,4106000000,13743000000,22620000000,14949000000,202000000,-848000000,202000000,848000000,247000000,346000000,8800000000,366000000,3802000000,769000000,848000000,3033000000,3534000000,4650000000,5016000000,3033000000,AMZN
2016-12-31,USD,31752000000,135565000000,103813000000,88265000000,4186000000,7432000000,16085000000,16166000000,100000000,-484000000,100000000,484000000,62000000,90000000,6362000000,8116000000,3771000000,1400000000,484000000,2371000000,2109000000,4255000000,12371000000,2371000000,AMZN
2015-12-31,USD,22853000000,106332000000,83479000000,71651000000,2233000000,5547000000,12540000000,12288000000,50000000,-459000000,680000000,459000000,-215000000,-256000000,4949000000,6281000000,1546000000,950000000,459000000,596000000,384000000,2005000000,8286000000,596000000,AMZN
2014-12-31,USD,16330000000,88680000000,72350000000,62752000000,178000000,4852000000,9275000000,9956000000,39000000,-210000000,None,210000000,-98000000,-118000000,3600000000,4746000000,-74000000,167000000,210000000,-241000000,-567000000,136000000,4882000000,-241000000,AMZN
2013-12-31,USD,13264000000,74227000000,60963000000,54181000000,745000000,3529000000,6565000000,7211000000,38000000,-141000000,None,141000000,-84000000,-136000000,None,3253000000,435000000,161000000,141000000,274000000,328000000,576000000,3829000000,274000000,AMZN
2012-12-31,USD,9900000000,60926000000,51026000000,45971000000,676000000,2896000000,4564000000,5306000000,40000000,-92000000,None,92000000,-95000000,-80000000,None,2159000000,389000000,428000000,92000000,-39000000,38000000,481000000,2640000000,-39000000,AMZN
2011-12-31,USD,7668000000,48097000000,40429000000,37288000000,862000000,2058000000,2909000000,3360000000,61000000,-65000000,None,65000000,70000000,76000000,None,1083000000,922000000,291000000,65000000,631000000,505000000,987000000,2070000000,631000000,AMZN
2010-12-31,USD,5608000000,34097000000,28489000000,26561000000,1406000000,1360000000,1734000000,1967000000,51000000,-39000000,None,39000000,-70000000,79000000,None,568000000,1504000000,352000000,39000000,1152000000,1018000000,1543000000,2111000000,1152000000,AMZN
2009-12-31,USD,5531000000,24479000000,20364000000,18978000000,1129000000,1008000000,1240000000,4402000000,37000000,-34000000,None,34000000,5000000,29000000,None,378000000,1155000000,253000000,34000000,902000000,969000000,1189000000,1567000000,902000000,AMZN
2023-12-31,USD,108131000000,134090000000,25959000000,25959000000,46751000000,23709000000,38483000000,65134000000,1639000000,-446000000,1639000000,446000000,134536000000,-150000000,11020000000,510000000,47428000000,8330000000,446000000,39098000000,40473000000,47874000000,48384000000,39098000000,META
2022-12-31,USD,91103000000,116352000000,25249000000,25249000000,28944000000,27078000000,35338000000,62981000000,461000000,-176000000,9000000,185000000,116528000000,-320000000,8500000000,565000000,28819000000,5619000000,176000000,23200000000,20363000000,28944000000,29560000000,23200000000,META
2021-12-31,USD,95125000000,117774000000,22649000000,22649000000,46753000000,23872000000,24655000000,49278000000,None,-15000000,484000000,15000000,117789000000,210000000,7560000000,751000000,47284000000,7914000000,15000000,39370000000,37750000000,46753000000,48050000000,39370000000,META
2020-12-31,USD,69130000000,85822000000,16692000000,16692000000,32671000000,18155000000,18447000000,37334000000,None,-14000000,672000000,14000000,85836000000,-34000000,6390000000,732000000,33180000000,4034000000,14000000,29146000000,30562000000,32671000000,33926000000,29146000000,META
2019-12-31,USD,57802000000,70572000000,12770000000,12770000000,23986000000,20341000000,13600000000,34698000000,924000000,-20000000,924000000,20000000,70592000000,27000000,5180000000,757000000,24812000000,6327000000,20000000,18485000000,18756000000,24832000000,25589000000,18485000000,META
2018-12-31,USD,46261000000,55616000000,9355000000,9355000000,24913000000,11297000000,10273000000,22287000000,661000000,-9000000,661000000,9000000,55625000000,9000000,3680000000,640000000,25361000000,3249000000,9000000,22112000000,21610000000,25370000000,26010000000,22112000000,META
2017-12-31,USD,35199000000,40653000000,5454000000,5454000000,20203000000,7242000000,7754000000,15736000000,398000000,-6000000,398000000,6000000,-6000000,5000000,2330000000,692000000,20594000000,4660000000,6000000,15934000000,16410000000,20600000000,21292000000,15934000000,META
2016-12-31,USD,23849000000,27638000000,3789000000,3789000000,12427000000,5503000000,5919000000,12239000000,176000000,-10000000,176000000,10000000,-76000000,1000000,1590000000,751000000,12518000000,2301000000,10000000,10217000000,9969000000,12528000000,13279000000,10217000000,META
2015-12-31,USD,15061000000,17928000000,2867000000,2867000000,6225000000,4020000000,4816000000,9610000000,52000000,-23000000,52000000,23000000,-66000000,6000000,1220000000,730000000,6194000000,2506000000,23000000,3688000000,3461000000,6217000000,6947000000,3688000000,META
2014-12-31,USD,10313000000,12466000000,2153000000,2153000000,4994000000,2653000000,2666000000,5657000000,27000000,-23000000,27000000,23000000,-87000000,-1000000,923000000,319000000,4910000000,1970000000,23000000,2940000000,2698000000,4933000000,5252000000,2940000000,META
2013-12-31,USD,5997000000,7872000000,1875000000,1875000000,2804000000,1778000000,1415000000,3450000000,19000000,-56000000,19000000,56000000,-70000000,1000000,857000000,145000000,2754000000,1254000000,56000000,1500000000,1512000000,2810000000,2955000000,1500000000,META
2012-12-31,USD,3725000000,5089000000,1364000000,1364000000,538000000,1788000000,1399000000,3316000000,14000000,-51000000,None,51000000,-9000000,2000000,566000000,78000000,494000000,441000000,51000000,53000000,61000000,545000000,623000000,53000000,META
2023-12-31,TWD,1175111000000,2161736000000,986625000000,986625000000,921277000000,60872841000,182370000000,253834000000,None,48294500000,60293900000,18329078000,None,None,None,532191000000,974516000000,141403000000,None,851027700000,None,921277000000,1453468000000,851740000000,TSM
2022-12-31,TWD,1348354806000,2263891292000,915536486000,915536486000,1121278851000,53524898000,163262208000,227075955000,None,10672225000,22422209000,11749984000,None,None,None,468495304000,1144190718000,127290203000,None,1016922033000,None,1121278851000,1589774155000,992923400000,TSM
2021-12-31,TWD,819537266000,1587415037000,767877771000,767877771000,649980897000,36929600000,124734755000,169222934000,None,294000000,5897000000,5414218000,None,None,None,440954504000,663126314000,66053180000,None,597073134000,None,649980897000,1090935401000,592359200000,TSM
2020-12-31,TWD,711130120000,1339238429000,628108309000,628108309000,566783698000,28457593000,109486089000,144346422000,None,6936945000,10530000000,2081455000,None,None,None,345422687000,584777180000,66619098000,None,518158082000,None,566783698000,912206385000,510744000000,TSM
2019-12-31,TWD,492701896000,1069988843000,577286947000,577286947000,372701090000,21737210000,91418746000,119352225000,None,12938500000,16485488000,3250847000,None,0,None,307231488000,389845336000,44501527000,None,354027000000,None,372701090000,679932578000,353948000000,TSM
2018-12-31,TWD,497874253000,1031361769000,533487516000,533487516000,383623524000,20265900000,85895600000,112821617000,None,11643300000,14012124000,3051100000,None,0,None,311632376000,397543100000,34436900000,None,363106200000,None,383623524000,695255900000,363052700000,TSM
2017-12-31,TWD,494826402000,977442688000,482616286000,482616286000,385559223000,21196700000,80732500000,108169271000,None,6134400000,10200639000,3330300000,None,0,None,274105577000,396161900000,51122900000,None,345039000000,None,385559223000,659664800000,344998300000,TSM
2016-12-31,TWD,474832098000,947909271000,473077173000,473077173000,387858689000,19795600000,71207700000,96920868000,None,3011400000,8025592000,3306100000,None,0,None,223790811000,385921700000,54124400000,None,331797300000,None,387858689000,611649500000,331713700000,TSM
2015-12-31,TWD,410394893000,843512494000,433117601000,433117601000,322668894000,17257200000,65544600000,88665134000,None,None,30630724000,3190300000,None,0,None,222570052000,350477600000,47644700000,None,241.65,None,330034548000,552604600000,302850900000,TSM
2014-12-31,TWD,377734375000,762835021000,385100646000,385100646000,296314221000,18933400000,56828800000,80895675000,None,None,None,3236300000,None,None,None,200202789000,302073500000,47889900000,None,254183600000,None,303731811000,503934600000,254301400000,TSM
2013-12-31,TWD,280945507000,597003327000,316057820000,316057820000,209429363000,18881800000,47952000000,71588354000,None,None,None,2646800000,None,None,None,162692337000,215961500000,32111800000,None,183849700000,None,209429363000,372121700000,183977600000,TSM
2012-12-31,TWD,234308318000,499846858000,265538540000,265538540000,175305058000,17638100000,40402100000,57506548000,None,None,None,1020400000,None,None,None,139822430000,181554000000,15590300000,None,None,None,176801770000,316624200000,159480800000,TSM
2011-12-31,TWD,194143257000,427080645000,232937388000,232937388000,141631447000,14164100000,33829900000,52511800000,None,None,None,626700000,None,None,None,109984553000,145147700000,10694400000,None,None,None,141631447000,251616000000,134201300000,TSM
2010-12-31,TWD,207053591000,419537911000,212484320000,212484320000,159175335000,12804000000,29706700000,47878256000,None,None,None,425400000,None,None,None,92632765000,170270400000,7988500000,None,None,None,159175335000,251808100000,161605000000,TSM
2009-12-31,TWD,129328611000,295742239000,166413628000,166413628000,91961886000,11285500000,21593400000,37366700000,None,None,None,391500000,None,None,None,83461614000,95462600000,5996400000,None,None,None,91961886000,175423500000,89217800000,TSM
2008-12-31,TWD,142135852515,334064749760,191928897245,191928897245,104720442865,11096600000,21539318795,37415409650,None,None,None,8048090750,None,None,None,80152414000,111776483245,10978252770,None,None,None,104720442865,184872856865,99933200000,TSM
2007-12-31,TWD,142355835662,322647065905,180291230243,180291230243,111727309850,2700000,17947719382,30628525812,None,None,None,11769474817,None,None,None,77288055763,121648176057,11711097703,None,None,None,111727309850,189015365613,109197634910,TSM
2006-12-31,TWD,155785483073,317358056818,161572573745,161572573745,127244307850,3400000,16074165701,28541175223,None,None,None,7615107489,None,None,None,73609447230,133340955737,7771515345,None,None,None,127244307850,200853755080,126983628090,TSM
2005-12-31,TWD,118556640265,267362810860,148806170595,148806170595,91240813670,4400000,14058436155,27315793710,None,None,None,4705613305,None,None,None,74538127550,94545394435,632477205,None,None,None,91240813670,165778941220,93855039630,TSM
2004-12-31,TWD,116006335200,257622812160,141616476960,141616476960,88621233120,4400000,12551505120,27385102080,None,None,None,4564183680,None,None,None,68874799560,92107762320,-348652920,None,None,None,88621233120,157496032680,92456415240,TSM
2023-12-31,USD,17660000000,96773000000,79113000000,463000000,8891000000,4800000000,3969000000,8769000000,1066000000,-156000000,1066000000,156000000,96917000000,172000000,3330000000,506000000,9996000000,-5001000000,156000000,14974000000,15215000000,10152000000,10658000000,14997000000,TSLA
2022-12-31,USD,20853000000,81462000000,60609000000,604000000,13656000000,3946000000,3075000000,7197000000,297000000,-191000000,41000000,191000000,-81000000,-43000000,2420000000,493000000,13688000000,1130000000,191000000,12587000000,12141000000,13879000000,14372000000,12556000000,TSLA
2021-12-31,USD,13606000000,53823000000,40217000000,374000000,6523000000,4517000000,2593000000,7083000000,56000000,-371000000,56000000,371000000,-55000000,135000000,1910000000,466000000,6218000000,699000000,371000000,5644000000,5210000000,6589000000,7055000000,5519000000,TSLA
2020-12-31,USD,6630000000,31536000000,24906000000,289000000,1994000000,3145000000,1491000000,4636000000,30000000,-748000000,30000000,748000000,-336000000,-122000000,1570000000,399000000,1013000000,292000000,853000000,862000000,1120000000,1761000000,2160000000,721000000,TSLA
2019-12-31,USD,4069000000,24578000000,20509000000,193000000,-69000000,2646000000,1343000000,4138000000,44000000,-685000000,44000000,685000000,-98000000,45000000,1370000000,343000000,-752000000,110000000,685000000,-775000000,-890000000,-67000000,276000000,-862000000,TSLA
2018-12-31,USD,4042000000,21461000000,17419000000,85272000,-388000000,2835000000,1460000000,4430000000,24533000,-663071000,-71000,663000000,22184879000,22000000,1110000000,66000000,-918000000,58000000,663071000,-1062582000,-1018000000,-255000000,-189000000,-976000000,TSLA
2017-12-31,USD,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000,TSLA
2016-12-31,USD,1599257000,7000132000,5400875000,4559939000,-667340000,1432189000,834408000,2266597000,8530000,-198810000,164180000,198810000,756309000,111272000,477300000,947099000,-648216000,26698000,198810000,-773046000,-695098000,-449406000,497693000,-674914000,TSLA
2015-12-31,USD,923503000,4046025000,3122522000,2868242000,-716629000,922232000,717900000,1640132000,1508000,-118851000,None,118851000,-55765000,-41652000,None,422590000,-875624000,13039000,118851000,-888663000,-892197000,-756773000,-334183000,-888663000,TSLA
