fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2014-12-31,USD,20754000000,49247000000,28493000000,9577000000,-6555000000,14097000000,8393000000,27309000000,425000000,-1360000000,None,1360000000,None,-1009000000,None,4100000000,12255000000,3120000000,1360000000,9087000000,5090000000,13615000000,17715000000,9135000000,PFE
2013-12-31,USD,20944000000,50893000000,29949000000,9586000000,-6044000000,14355000000,6678000000,28082000000,403000000,-1011000000,403000000,1414000000,320000000,532000000,None,4800000000,26309000000,4306000000,1414000000,11380000000,24658000000,27723000000,32523000000,22003000000,PFE
2012-12-31,USD,22350000000,57553000000,35203000000,9821000000,-9870000000,15171000000,7870000000,33692000000,382000000,-1140000000,382000000,1522000000,52000000,-4022000000,None,5400000000,16791000000,2221000000,1524000000,8993000000,12746000000,18313000000,23713000000,14570000000,PFE
2011-12-31,USD,23631000000,65824000000,42193000000,12500000000,-13008000000,17581000000,9112000000,38319000000,None,-1225000000,456000000,1681000000,1000000,-139000000,None,5585000000,13630000000,3621000000,1681000000,7820000000,9320000000,15311000000,20896000000,10009000000,PFE
2010-12-31,USD,21035000000,66010000000,44975000000,14788000000,-16937000000,18973000000,9538000000,39771000000,None,-1799000000,-2000000,1797000000,262000000,147000000,None,5404000000,9410000000,1153000000,1799000000,8287000000,4265000000,11207000000,16611000000,8257000000,PFE
2009-12-31,USD,23369000000,50009000000,26640000000,8459000000,-2296000000,14752000000,7913000000,25665000000,None,-1233000000,-1000000,1232000000,188000000,-62000000,None,2877000000,10780000000,2145000000,1233000000,8521000000,22405000000,12012000000,14889000000,8635000000,PFE
2023-12-31,USD,76055000000,133974000000,57919000000,72511000000,22877000000,32745000000,None,59195000000,None,-5524000000,348000000,5524000000,308000000,-313000000,14937000000,17624000000,16506000000,4892000000,5216000000,12095000000,12099000000,22030000000,39654000000,11614000000,VZ
2022-12-31,USD,91666000000,136835000000,45169000000,76232000000,30467000000,30136000000,None,49166000000,None,-3613000000,3569000000,3613000000,-1077000000,1373000000,14592000000,17099000000,27779000000,6523000000,4690000000,21748000000,20318000000,31392000000,48491000000,21256000000,VZ
2021-12-31,USD,92325000000,133613000000,41288000000,56301000000,32448000000,28658000000,None,45156000000,None,-3485000000,3340000000,3485000000,-2490000000,312000000,14119000000,16206000000,28867000000,6802000000,7026000000,22618000000,21209000000,32352000000,48558000000,22065000000,VZ
2020-12-31,USD,79353000000,128292000000,48939000000,51201000000,28798000000,31573000000,None,50020000000,None,-4247000000,4292000000,4247000000,-129000000,-539000000,14275000000,16720000000,23420000000,5619000000,4376000000,18348000000,16732000000,27667000000,44387000000,17801000000,VZ
2019-12-31,USD,84612000000,131868000000,47256000000,54726000000,30378000000,29896000000,None,48650000000,None,-4730000000,121000000,4730000000,-3604000000,-2900000000,14371000000,16682000000,22210000000,2945000000,8334000000,19788000000,17893000000,26940000000,43622000000,19265000000,VZ
2018-12-31,USD,77685000000,130863000000,53178000000,55508000000,22278000000,31083000000,None,56767000000,None,-4833000000,94000000,4833000000,-700000000,2364000000,15186000000,17403000000,19112000000,3584000000,5533000000,16039000000,14609000000,23945000000,41348000000,15528000000,VZ
2017-12-31,USD,26196000000,126034000000,99838000000,51556000000,27425000000,28592000000,None,46687000000,None,-4733000000,82000000,4733000000,-226000000,-2021000000,14741000000,16954000000,20145000000,-9956000000,6733000000,30550000000,30087000000,24878000000,41832000000,30101000000,VZ
2016-12-31,USD,25967000000,125980000000,100013000000,51424000000,29249000000,28102000000,None,49175000000,None,-4376000000,59000000,4376000000,-1800000000,-3789000000,14227000000,15928000000,20505000000,7378000000,6176000000,13608000000,15250000000,24881000000,40809000000,13127000000,VZ
2015-12-31,USD,33722000000,131620000000,97898000000,52557000000,33060000000,29986000000,None,47359000000,None,-4920000000,4891000000,4920000000,0,186000000,14323000000,16017000000,27744000000,9865000000,4920000000,18375000000,17318000000,32664000000,48681000000,17879000000,VZ
2014-12-31,USD,19599000000,127079000000,107480000000,49931000000,19599000000,41016000000,None,57937000000,None,-4915000000,None,4915000000,None,-1194000000,14966000000,16533000000,12939000000,3314000000,4915000000,11956000000,8378000000,17854000000,34387000000,9625000000,VZ
2013-12-31,USD,31968000000,120550000000,88582000000,44887000000,31968000000,27089000000,None,49677000000,None,-2667000000,None,2667000000,None,-166000000,15019000000,16606000000,17227000000,5730000000,2667000000,23547000000,11620000000,19894000000,36500000000,11497000000,VZ
2012-12-31,USD,13160000000,115846000000,102686000000,46275000000,13160000000,39951000000,None,62454000000,400000000,-2571000000,None,2571000000,None,-1016000000,14920000000,16460000000,215000000,-660000000,2571000000,10557000000,1841000000,2786000000,19246000000,875000000,VZ
2011-12-31,USD,12880000000,110875000000,97995000000,45875000000,12880000000,35624000000,None,58473000000,500000000,-2827000000,None,2827000000,None,-14000000,14991000000,16496000000,2689000000,285000000,2827000000,10198000000,2624000000,5516000000,22012000000,2404000000,VZ
2010-12-31,USD,13345000000,106565000000,93220000000,44149000000,14645000000,31366000000,None,55340000000,500000000,-2523000000,None,2523000000,None,54000000,14593000000,16405000000,5016000000,2467000000,2523000000,13240000000,4947000000,7539000000,23944000000,2549000000,VZ
2009-12-31,USD,14027000000,107808000000,93781000000,44579000000,15978000000,30717000000,None,53890000000,900000000,-3102000000,None,3102000000,None,91000000,14564000000,16534000000,6813000000,1919000000,3102000000,13460000000,5434000000,9915000000,26449000000,4894000000,VZ
