Date,AAPL,AI,AMZN,GOOG,GOOGL,META,MSFT,NVDA,PINS,TSLA,TSM
2024-01-12,1.4865275335619854,2.367660325837872,1.8016778800631084,1.608026871800141,1.600650690082652,3.002164475290125,1.6214625521818036,3.821865224463229,1.6221058129388402,2.0248843892634305,1.3675536881419235
2024-01-16,1.4682178406562487,2.263775985256729,1.7846656281373352,1.6062431073904084,1.5988554881258563,2.945807261087072,1.6289756491816028,3.938665848565308,1.6063783939807441,2.0343201365979238,1.3733621483913654
2024-01-17,1.4606219966540954,2.198735395084795,1.7677698351590274,1.5929766360203717,1.5874101981682092,2.953102464531786,1.6256365232660228,3.9156830630034647,1.5906509750226483,1.9939871054055567,1.3906524199083607
2024-01-18,1.5081954532907749,2.1734417460907105,1.7886273659501952,1.616388076097982,1.6099639957993814,3.0153119394277197,1.6440019705606894,3.989311918797444,1.6203582849093972,1.9600370756113943,1.52681346269192
2024-01-19,1.5316222757336513,2.2411924254652242,1.8100675470785295,1.649609880210847,1.6425044924993175,3.0739940578306157,1.6640371081926346,4.155850707161352,1.620795083590035,1.9629047681458023,1.5426178418387222
2024-01-22,1.5502518578615796,2.388437331793211,1.803542290022073,1.6467113906268844,1.638128377400248,3.0606061032343828,1.6550213153651827,4.167237239067804,1.6234163756341997,1.9315449213604206,1.52681346269192
2024-01-23,1.560566028240411,2.3866306056581577,1.8179912005041694,1.6575250583516867,1.6499101072095979,3.0880232387667195,1.6649970400191323,4.182536000956672,1.6146789021404302,1.9346901234204559,1.5416722833357037
2024-01-24,1.5551291314830715,2.298103092627193,1.8278955450363197,1.6761428229509205,1.6685367186430569,3.132114950280188,1.6802737894729132,4.28655265877945,1.5954565937768936,1.9225717369534352,1.5739564847278131
2024-01-25,1.5524905944089538,2.2746161697681617,1.8381496220107054,1.7128205642894312,1.7041067149542035,3.1519961472596716,1.6899156524871004,4.304366216277885,1.6159896314892352,1.6894542780824713,1.5744968185949877
2024-01-26,1.5384984299868696,2.269196163661889,1.854113210009531,1.7144927371053447,1.7076974613002143,3.1596923312351173,1.6859921094775754,4.263429969890805,1.6470075040713437,1.6951896631512873,1.5839525066833209
2024-01-29,1.5329814999229863,2.354110224422747,1.879049115360944,1.72619845714415,1.7225088619369844,3.2148468484954758,1.7101594377214613,4.363604749118359,1.7112275759456417,1.7662349247996472,1.5801702726712465
2024-01-30,1.5034780022783871,2.3062331879360456,1.8527149914402674,1.706243124401322,1.6995063066206655,3.2071509091695307,1.7054428300155753,4.385190366789882,1.6880734128425812,1.7723404166722245,1.567742799842527
2024-01-31,1.4743743051605318,2.238482508561532,1.8084362328144155,1.5808250599337017,1.5720377220128485,3.127625631952595,1.6594873676168858,4.298079094012704,1.6369594678822146,1.7325624045311123,1.5258679041889014
2024-02-01,1.494043344257595,2.25383933611171,1.8559776199684956,1.5909700286412753,1.5839317696556423,3.1648228759025807,1.6853660392908403,4.402864287444043,1.6417650866364601,1.7470860617594204,1.5316763644383433
2024-02-02,1.4859679104261376,2.2601627052855098,2.00198086890643,1.600222945034846,1.5976211904714412,3.807840294763504,1.71642039434779,4.6217258541014825,1.7365662324122286,1.7382979307543156,1.5635553411946088
2024-02-05,1.5005996092886216,2.178861924495871,1.9845024255909558,1.6157190368624799,1.6122081266575334,3.6829406087038588,1.6931713448376118,4.843311405152373,1.7330711763533426,1.6749306208541632,1.6046197875765464
2024-02-06,1.5135524387435624,2.349593581384001,1.9709857200883416,1.621070330091677,1.6169210240407248,3.6453423842231407,1.6925034941785981,4.765840137798115,1.7933595601415622,1.7123035033883758,1.612589480236539
2024-02-07,1.5144319511016018,2.333333390766296,1.9870659448345522,1.6352285135574431,1.6330788689491442,3.764550299661998,1.7282326764691551,4.896891448009425,1.7837484892865165,1.735245184818027,1.6882345727106147
2024-02-08,1.505716860827753,2.4245709929998407,1.979025832461447,1.6412486759130056,1.6372306908137453,3.767837165696397,1.7284831045438493,4.864897022823896,1.7789428705322712,1.7535615192813718,1.8064297978205264
2024-02-09,1.5099544780068535,2.57181572702894,2.032742922029668,1.6746934931043709,1.6719030005383895,3.752685532853645,1.7553634885165799,5.038980464499031,1.6107470474009062,1.7906568922899568,1.7980548805246896
2024-02-12,1.4963619921095213,2.816621604764271,2.0081565713205705,1.6580825059933701,1.655408373345848,3.759018774463803,1.7332832731942922,5.047013846765219,1.5513324276274083,1.7403330947118414,1.762258663583167
2024-02-13,1.4794914346976715,2.596206012955498,1.9650431133690516,1.6317725763317972,1.6285906072328404,3.6886323793246465,1.6959679615110137,5.038630839423292,1.5600699011211778,1.7023127370026274,1.7229502249759359
2024-02-14,1.4723754245288054,2.641373132538507,1.9923094422692107,1.6403567937081394,1.6375673018816577,3.7941318493220852,1.7091993785154749,5.162417302976976,1.5648755198754232,1.7456985141312833,1.7461840659737038
2024-02-15,1.4700567766768793,2.7136406272506544,1.9785598188716658,1.604682356059177,1.6019973055705108,3.880311103643865,1.69696967380979,5.075654855827956,1.5980778858210583,1.854301570561349,1.7429420627706564
2024-02-16,1.4576636923597777,2.595302649887971,1.9751805535960523,1.5803790337767,1.5767504481798305,3.7944525848167707,1.686534746099242,5.072511427936629,1.5412843914382792,1.8496762235950428,1.711333304477052
2024-02-20,1.4516670504645988,2.4435411005212386,1.9468655607689456,1.5852843008488957,1.5834828407542862,3.7818663466325004,1.6812338486788996,4.851694412494299,1.5338576472933148,1.7924144055674678,1.6929623652257078
2024-02-21,1.4577437256663215,2.3649504089341797,1.9644604630318852,1.60356746077581,1.5995287102616809,3.7520443065137745,1.6786876600801917,4.713377722660308,1.5482743369026057,1.8017576967782147,1.6930973713988906
2024-02-22,1.474134449244884,2.4056007131795556,2.034257777346317,1.6200670264021289,1.6168087062072811,3.897146169697089,1.718215171342927,5.4864131551764395,1.5723024306738331,1.826179523114137,1.7434824996959786
2024-02-23,1.4593428057713043,2.3622403197315998,2.0390352611911937,1.6197324217298092,1.6153501153183976,3.880311103643865,1.7127472794129588,5.505903154253744,1.5666230479048662,1.7758557255360214,1.749696081523117
2024-02-26,1.4484688902546334,2.61065947743815,2.036005550557896,1.5468227951006528,1.5436490471775137,3.8619528498027607,1.7010602113289406,5.5251138796425,1.5460900101925248,1.8445883137012282,1.7646900113982311
2024-02-27,1.4602223181293434,2.7190606333569267,2.0221392904129663,1.5618730308804218,1.5583483011970496,3.904521373528349,1.7008097832542466,5.497799420600365,1.5762342854133573,1.847641059637517,1.736998493289884
2024-02-28,1.4505476821909118,2.6820236090827705,2.0177115390103246,1.5321069938840661,1.530296237429627,3.8802308586078182,1.7018114955530228,5.425288459008159,1.5779816467893548,1.8690101400371504,1.7206537802759072
2024-02-29,1.4451906967381243,3.3396569322389826,2.059659696287511,1.5583055020609573,1.5536355750300677,3.9292128689796115,1.7265214604185755,5.526510781050294,1.6033203032559418,1.8675301362852668,1.738079161024233
2024-03-01,1.4364756064642756,3.2402890623976974,2.076672126013204,1.5393534730076774,1.538824003177088,4.026775664542966,1.7342849854930684,5.7477472399905,1.5902141763420101,1.874560612858473,1.8087261394624075
2024-03-04,1.4000160432619062,3.0776875008184197,2.0692146639772653,1.4960981216719211,1.4962971498408075,3.9938272484619346,1.7318641383111963,5.954383654228262,1.5902141763420101,1.7404255508355881,1.867621191228515
2024-03-05,1.360198253236484,2.823848337005597,2.028897643164273,1.4914158676782263,1.4886668994636396,3.9299343403555285,1.6806494315849543,6.005169361304672,1.5591961371064562,1.6719704721960087,1.8231798385284945
2024-03-06,1.3522027307095787,2.9322493206254863,2.0217897357706502,1.4778149617450067,1.4744164031292502,3.97699218240871,1.6783120179681508,6.196297558387155,1.5124508455662518,1.6331174447555252,1.9123329685074912
2024-03-07,1.3512433070469876,2.869918819656133,2.060358983372063,1.5076924202260444,1.507854586415689,4.106060695950763,1.707738590539589,6.47355930385437,1.5517693929614917,1.6526364145995136,2.015399154510958
2024-03-08,1.365075526857976,2.8635954504823333,2.043230094698904,1.5193979701557128,1.51941202299057,4.0560367233578685,1.695550538926694,6.114425598578049,1.5246833751189073,1.6220166402672673,1.9771713836380762
2024-03-11,1.3812265165228823,2.788618038866494,2.0037288199179293,1.548940994073568,1.544771026998485,3.876783747150827,1.688454737131726,5.991896932552939,1.5002184826670417,1.6444958999237977,1.8778874316466836
2024-03-12,1.385064333175239,2.7714544851812617,2.0436961082886858,1.5565217376512248,1.5540843327152143,4.006333241610158,1.7333667067593608,6.420747796605879,1.5233726457701022,1.642368138688138,1.9505605332640783
2024-03-13,1.3682738090699331,2.7434509192834846,2.057329272738765,1.5693423529733972,1.5685591222840722,3.9728235995758023,1.7326154225352786,6.349144474501453,1.5115770815515301,1.567807568175981,1.920032442704823
2024-03-14,1.3832253971546085,2.6287263941909087,2.0828478284273446,1.6091415969743708,1.6057001985337558,3.9428410693849836,1.7748559895268585,6.143486051138663,1.4884229184484699,1.5032377640495727,1.8859921304798593
2024-03-15,1.3801870595537473,2.612466203573203,2.032393367387352,1.5849498662857129,1.5841560628901108,3.8808723295971888,1.738125094937525,6.136011216249572,1.4936653358833532,1.5131360743115743,1.8503309197115196
2024-03-18,1.3889821831341396,2.624209578853275,2.0330924766719836,1.6552954378940896,1.6570914286854097,3.9841271404308314,1.7418816434374247,6.179182984557671,1.4844910637089457,1.607770633718974,1.8457382364277573
2024-03-19,1.4078516211777157,2.555555708710122,2.049638715007976,1.6490524325691633,1.6497979605923636,3.9781946347019046,1.7589531698863425,6.245057998256538,1.4805592089694217,1.584828952289323,1.8218289523314846
2024-03-20,1.4285599952419223,2.5880759176466452,2.075856379981187,1.6686733307488084,1.668985647544413,4.052589367251377,1.774897769999137,6.31309844897176,1.4980341559569608,1.6249769300798094,1.8472241287979503
2024-03-21,1.3701926563951157,2.5636856317200873,2.075856379981187,1.658194097587189,1.6561939133151165,4.070546885211249,1.7921779440504704,6.3873559370475,1.4997816839864038,1.5987049931882422,1.8836957888379782
2024-03-22,1.3774686111750774,2.5130985060308055,2.084246046996608,1.6919733493417373,1.6917639096262633,4.085137047451178,1.789548321886694,6.5867275046276355,1.4805592089694217,1.5802960614467634,1.8984195002504314
2024-03-25,1.366035072522559,2.4959349523455736,2.094034110381213,1.6850613047813086,1.683909366014627,4.032547680199801,1.765005351530767,6.6365352208290735,1.5277414658437096,1.5969473387563438,1.894232041602513
2024-03-26,1.3569201817219667,2.4444444635887654,2.077604330992686,1.691192888621553,1.6906417585890825,3.975388994234284,1.7599548821851188,6.4660146505431415,1.5513324276274083,1.6435707740687815,1.8754558777153245
2024-03-27,1.3857039896176304,2.462511380341524,2.0954323289504764,1.6938685352361516,1.6928858894472345,3.959114909484884,1.7590366034514109,6.30457580478556,1.5238096111041857,1.663552306840278,1.8464136795262622
2024-03-28,1.3710721687531549,2.445347826656292,2.1018411270594677,1.6974358939464793,1.693559111583059,3.8927368517560423,1.756073119647872,6.311980821252514,1.5146351722763327,1.6261794243060657,1.8377685437677647
2024-04-01,1.3594786854895407,2.384823879523104,2.10871593875824,1.744704630149565,1.744726219716454,3.938993222046761,1.7721429337980137,6.3124695502074735,1.5430319194677222,1.6209066021647578,1.9112523007731421
2024-04-02,1.3499639941622048,2.3270100215924967,2.1054533102300117,1.7376811641044545,1.7342907629625437,3.9872535163931375,1.7590783839236894,6.248830324912152,1.5347314113080361,1.5414431751606672,1.8940970354293298
2024-04-03,1.3564403478886793,2.288166271183287,2.1254952727890823,1.7432553003030153,1.738330266993701,4.062369720318526,1.754946193311749,6.21473974816735,1.5412843914382792,1.5576318895427395,1.9181413256987858
2024-04-04,1.3498041715531006,2.2601627052855098,2.0974131978569064,1.6938685352361516,1.6890708498667553,4.095879607002383,1.7442190570542284,6.0010479425383725,1.5146351722763327,1.5828862444555438,1.8865325674051814
2024-04-05,1.3558807247528315,2.272809443633108,2.1564904216071707,1.7161650800303951,1.7111758898127811,4.227513515202918,1.7761081299003287,6.147957094980701,1.4975971906228773,1.5254393730260882,1.909496189940288
